transaction_id,timestamp,stock_symbol,price,quantity,order_type,exchange
tx_0006269,2025-06-15 09:30:00,PG,139.31,604.0,buy,NYSE
tx_0006246,2025-06-15 09:30:03,GOOGL,2826.2,28.0,buy,NASDAQ
tx_0001433,2025-06-15 09:30:04,GOOGL,2786.35,174.0,sell,NASDAQ
tx_0009114,2025-06-15 09:30:06,PG,140.44,923.0,buy,NYSE
tx_0007677,2025-06-15 09:30:07,AMZN,3532.56,891.0,buy,NASDAQ
tx_0001982,2025-06-15 09:30:10,PG,139.06,345.0,sell,NYSE
tx_0006058,2025-06-15 09:30:11,BRK.B,277.54,205.0,buy,NYSE
tx_0005037,2025-06-15 09:30:12,JNJ,169.18,259.0,buy,NYSE
tx_0000606,2025-06-15 09:30:19,ADBE,597.89,449.0,,NASDAQ
tx_0005780,2025-06-15 09:30:23,GOOGL,2826.14,690.0,buy,NASDAQ
tx_0000607,2025-06-15 09:30:23,MCD,247.68,280.0,sell,NYSE
tx_0000944,2025-06-15 09:30:23,MSFT,302.8,112.0,sell,NASDAQ
tx_0007064,2025-06-15 09:30:23,NFLX,500.37,325.0,buy,NASDAQ
tx_0002515,2025-06-15 09:30:25,NVDA,198.09,162.0,buy,NASDAQ
tx_0003040,2025-06-15 09:30:26,ADBE,602.26,984.0,buy,NASDAQ
tx_0005115,2025-06-15 09:30:28,AAPL,151.08,442.0,buy,NASDAQ
tx_0008287,2025-06-15 09:30:28,JNJ,170.84,77.0,sell,NYSE
tx_0002950,2025-06-15 09:30:28,MCD,248.42,926.0,buy,NYSE
tx_0002467,2025-06-15 09:30:34,NVDA,202.1,579.0,buy,NASDAQ
tx_0003212,2025-06-15 09:30:40,NFLX,498.56,337.0,sell,NASDAQ
tx_0001411,2025-06-15 09:30:40,TSLA,700.91,222.0,sell,NASDAQ
tx_0007676,2025-06-15 09:30:43,AMZN,3498.05,356.0,buy,NASDAQ
tx_0002553,2025-06-15 09:30:44,BRK.B,279.06,28.0,sell,NYSE
tx_0005206,2025-06-15 09:30:44,PG,140.07,19.0,buy,NYSE
tx_0005613,2025-06-15 09:30:47,GOOGL,2810.9,624.0,sell,NASDAQ
